Index,DigiKey Part #,Manufacturer Part Number,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price
1,RMCF1206JT1K00CT-ND,RMCF1206JT1K00,RES 1K OHM 5% 1/4W 1206,,10,0,€0.01900,€0.19
2,RMCF1206JT1K20CT-ND,RMCF1206JT1K20,RES 1.2K OHM 5% 1/4W 1206,,10,0,€0.01900,€0.19
3,RMCF1206JG1K50CT-ND,RMCF1206JG1K50,RES 1.5K OHM 5% 1/4W 1206,,10,0,€0.01900,€0.19
4,RMCF1206JT3K30CT-ND,RMCF1206JT3K30,RES 3.3K OHM 5% 1/4W 1206,,10,0,€0.01900,€0.19
5,738-RMCF1206JT3K60TR-ND,RMCF1206JT3K60,RES 3.6K OHM 5% 1/4W 1206,,10,0,€0.01900,€0.19
6,RMCF1206JT4K70CT-ND,RMCF1206JT4K70,RES 4.7K OHM 5% 1/4W 1206,,10,0,€0.02000,€0.20
7,RMCF2512JT4K70CT-ND,RMCF2512JT4K70,RES 4.7K OHM 5% 1W 2512,,10,0,€0.10600,€1.06
8,Z10315-ND,D6T-1A-01,SENSOR DIGITAL 0C-60C MODULE,,1,0,€14.72000,€14.72
9,455-1594-ND,GHR-04V-S,CONN RCPT HSG 4POS 1.25MM,,10,0,€0.10100,€1.01
10,497-STM32L4A6RGT7TR-ND,STM32L4A6RGT7TR,IC MCU 32BIT 1MB FLASH 64LQFP,,2,0,€9.29000,€18.58
11,296-21928-6-ND,TXB0104DR,IC TRANSLTR BIDIRECTIONAL 14SOIC,,3,0,€2.75333,€8.26
12,118-CR1206-JW-112ELFCT-ND,CR1206-JW-112ELF,RES SMD 1.1K OHM 5% 1/4W 1206,,10,0,€0.03600,€0.36
13,501-1245-ND,3925-2,"MINIGRABBER RED SOLDER 0.090""",,1,0,€2.28000,€2.28
14,501-1244-ND,3925-0,"MINIGRABBER BLACK SOLDER 0.090""",,1,0,€2.28000,€2.28
15,438-1049-ND,TW-E012-000,JUMPER KIT VARIOUS 140PCS,,1,1,€6.03000,€6.03
,,,,,,,Subtotal,€55.73
